id_donante,antiguedad_meses,monto_promedio,canal_captacion,interes_causa,contactos_anuales,abandono
1001,22,33.33,Evento,Ambiente,2,0
1002,5,10.91,Email,Ambiente,4,1
1003,50,41.44,Referido,Humanitaria,2,0
1004,42,14.22,Calle,Ambiente,5,0
1005,23,27.36,Redes Sociales,Animales,11,1
1006,54,22.67,Redes Sociales,Ambiente,9,0
1007,60,33.06,Redes Sociales,Animales,4,0
1008,15,28.17,Email,Ambiente,8,0
1009,31,32.52,Calle,Animales,2,0
1010,59,41.11,Referido,Ambiente,5,0
1011,9,37.69,Redes Sociales,Ambiente,7,0
1012,43,30.36,Email,Salud,6,0
1013,58,34.6,Email,Animales,5,0
1014,53,49.6,Redes Sociales,Animales,1,1
1015,25,38.04,Redes Sociales,Animales,6,1
1016,25,27.06,Redes Sociales,Niñez,7,0
1017,49,42.78,Evento,Ambiente,0,1
1018,21,33.91,Calle,Animales,8,0
1019,9,20.37,Calle,Niñez,3,1
1020,55,28.19,Redes Sociales,Salud,7,0
1021,48,15.28,Calle,Animales,9,0
1022,38,7.15,,Animales,6,1
1023,22,20.51,Redes Sociales,Niñez,12,0
1024,43,31.23,Evento,Ambiente,9,0
1025,23,31.26,Calle,Salud,6,0
1026,49,15.88,Referido,Animales,1,1
1027,4,6.21,Redes Sociales,Ambiente,0,0
1028,29,44.71,Calle,Salud,3,0
1029,15,30.95,Calle,Humanitaria,11,1
1030,1,45.56,Redes Sociales,Humanitaria,1,0
1031,54,44.99,Calle,Salud,7,1
1032,30,37.35,Redes Sociales,Niñez,9,0
1033,29,30.59,Redes Sociales,Salud,6,0
1034,20,26.02,Email,Salud,7,0
1035,33,37.19,Email,Niñez,10,1
1036,41,28.4,Email,Niñez,5,0
1037,44,24.1,Evento,Ambiente,0,0
1038,36,9.02,Redes Sociales,Ambiente,12,1
1039,60,29.17,Referido,Niñez,12,1
1040,22,40.97,Calle,Humanitaria,11,0
1041,13,42.59,Redes Sociales,Humanitaria,8,0
1042,7,30.53,Calle,Salud,5,0
1043,8,21.11,Redes Sociales,Animales,11,0
1044,28,39.03,Email,Salud,12,0
1045,45,29.85,Redes Sociales,Salud,9,0
1046,43,26.34,Referido,Animales,0,0
1047,9,15.44,Evento,Niñez,0,0
1048,25,51.04,Calle,Humanitaria,7,0
1049,56,37.38,,Salud,5,0
1050,16,38.46,Redes Sociales,Animales,7,0
1051,10,21.37,Email,Ambiente,7,0
1052,11,30.8,Referido,Salud,10,0
1053,31,29.19,Email,Humanitaria,7,1
1054,12,37.82,Email,Niñez,9,0
1055,60,43.6,Calle,Salud,6,0
1056,31,15.66,Email,Salud,6,0
1057,14,19.25,Redes Sociales,Animales,9,0
1058,51,36.46,Redes Sociales,Ambiente,3,0
1059,44,24.92,Redes Sociales,Ambiente,8,0
1060,32,38.15,Evento,Niñez,11,0
1061,50,26.27,Evento,Humanitaria,1,1
1062,53,17.51,Redes Sociales,Niñez,10,1
1063,17,12.41,Email,Salud,8,0
1064,35,34.84,Evento,Salud,9,0
1065,1,35.09,Redes Sociales,Ambiente,2,0
1066,29,39.7,Calle,Humanitaria,12,0
1067,51,33.28,Redes Sociales,Animales,1,0
1068,4,17.57,Email,Humanitaria,12,0
1069,23,35.03,Redes Sociales,Salud,3,0
1070,28,15.43,Email,Animales,4,1
1071,16,11.32,Referido,Humanitaria,1,0
1072,12,10.12,Redes Sociales,Humanitaria,12,0
1073,53,9.2,Redes Sociales,Animales,0,0
1074,21,32.79,Email,Salud,9,0
1075,45,22.69,Referido,Humanitaria,10,0
1076,17,14.81,Referido,Animales,4,0
1077,40,30.23,Referido,Salud,8,0
1078,13,18.94,Redes Sociales,Animales,11,0
1079,52,39.81,Evento,Animales,11,0
1080,58,44.5,Redes Sociales,Humanitaria,4,0
1081,32,27.82,Email,Salud,11,0
1082,37,43.77,Calle,Humanitaria,10,0
1083,50,43.76,Evento,Niñez,9,0
1084,15,30.85,Redes Sociales,Niñez,8,0
1085,12,47.33,Evento,Salud,12,0
1086,49,23.78,Evento,Animales,11,0
1087,57,10.45,Referido,Humanitaria,9,0
1088,15,14.46,Calle,Humanitaria,5,0
1089,34,23.32,,Salud,2,1
1090,6,35.34,Calle,Salud,3,0
1091,17,18.45,,Niñez,3,1
1092,48,23.24,Referido,Ambiente,0,0
1093,49,17.51,Referido,Salud,2,1
1094,57,23.47,Calle,Ambiente,2,1
1095,20,43.43,Referido,Salud,12,0
1096,9,33.58,Calle,Animales,0,0
1097,59,24.23,Calle,Animales,12,0
1098,5,42.2,Calle,Niñez,8,0
1099,23,30.26,Redes Sociales,Niñez,10,1
1100,33,31.34,Redes Sociales,Ambiente,0,0
1101,38,41.43,Redes Sociales,Salud,8,1
1102,56,26.57,Calle,Humanitaria,0,0
1103,14,39.16,Evento,Niñez,1,0
1104,17,38.45,Calle,Humanitaria,1,1
1105,57,28.54,Email,Humanitaria,5,0
1106,19,16.04,Redes Sociales,Salud,6,0
1107,33,30.13,Calle,Ambiente,10,0
1108,1,41.37,Referido,Salud,0,1
1109,13,38.2,Redes Sociales,Niñez,2,0
1110,46,47.1,Redes Sociales,Humanitaria,1,1
1111,27,25.1,Redes Sociales,Salud,7,0
1112,6,37.79,Redes Sociales,Salud,8,0
1113,59,19.94,Email,Salud,12,0
1114,6,32.02,Email,Niñez,1,0
1115,33,41.05,Calle,Ambiente,1,0
1116,30,39.06,,Salud,9,0
1117,46,31.03,Email,Niñez,8,0
1118,35,27.32,Redes Sociales,Humanitaria,3,0
1119,23,20.05,Email,Animales,4,0
1120,10,27.74,Calle,Niñez,12,0
1121,51,16.9,Email,Animales,10,0
1122,19,26.57,Email,Salud,8,0
1123,51,11.94,,Salud,5,0
1124,28,16.81,Redes Sociales,Niñez,9,1
1125,23,38.53,Redes Sociales,Animales,11,0
1126,4,37.41,Calle,Salud,8,1
1127,20,27.11,Email,Humanitaria,8,0
1128,19,30.65,Email,Ambiente,6,0
1129,42,31.99,Redes Sociales,Ambiente,11,0
1130,27,3460.33,Calle,Salud,9,0
1131,57,33.53,Calle,Animales,8,0
1132,34,16.63,Redes Sociales,Salud,4,0
1133,4,5.57,Redes Sociales,Animales,4,1
1134,56,19.83,Evento,Humanitaria,11,0
1135,38,28.46,Email,Animales,7,0
1136,7,39.6,Evento,Salud,9,0
1137,48,32.34,Calle,Humanitaria,3,0
1138,7,35.34,Referido,Niñez,8,0
1139,50,21.03,Evento,Ambiente,6,0
1140,52,29.29,Email,Salud,6,0
1141,26,30.65,Email,Salud,12,0
1142,26,22.44,Redes Sociales,Salud,2,0
1143,54,19.3,Calle,Humanitaria,3,0
1144,19,27.73,Evento,Niñez,6,0
1145,9,36.61,Redes Sociales,Animales,10,0
1146,20,20.95,Redes Sociales,Niñez,10,0
1147,42,27.92,Calle,Humanitaria,4,0
1148,45,43.55,Calle,Salud,11,1
1149,50,24.81,Redes Sociales,Ambiente,2,0
1150,16,30.07,Redes Sociales,Salud,0,0
1151,54,28.94,Email,Animales,6,1
1152,17,28.12,Redes Sociales,Ambiente,5,0
1153,22,46.68,Redes Sociales,Salud,9,0
1154,13,33.06,Calle,Ambiente,6,0
1155,12,14.3,Email,Niñez,1,1
1156,10,45.28,Redes Sociales,Humanitaria,12,0
1157,1,32.75,Referido,Salud,11,1
1158,32,26.26,Referido,Animales,3,0
1159,30,43.49,Redes Sociales,Niñez,1,0
1160,8,22.21,Referido,Salud,7,0
1161,21,47.16,Evento,Niñez,6,0
1162,22,30.93,Calle,Animales,0,1
1163,18,40.06,Calle,Salud,1,1
1164,2,60.68,Calle,Animales,1,0
1165,48,31.8,Redes Sociales,Ambiente,3,0
1166,44,29.03,Email,Animales,2,0
1167,9,19.33,Evento,Ambiente,0,0
1168,3,28.79,,Salud,11,0
1169,54,19.64,Redes Sociales,Ambiente,1,0
1170,26,28.13,Calle,Salud,10,0
1171,21,58.95,Referido,Salud,8,0
1172,30,31.2,Redes Sociales,Humanitaria,12,1
1173,28,24.46,Calle,Salud,0,0
1174,36,27.9,Redes Sociales,Ambiente,8,1
1175,26,25.88,Calle,Humanitaria,6,0
1176,34,40.48,Redes Sociales,Humanitaria,1,0
1177,8,29.1,Referido,Salud,1,0
1178,10,46.09,Evento,Animales,4,0
1179,48,26.84,Email,Animales,12,1
1180,55,27.48,Redes Sociales,Humanitaria,4,0
1181,43,21.03,Evento,Salud,3,0
1182,50,26.17,Redes Sociales,Animales,11,0
1183,54,12.66,Email,Salud,9,0
1184,14,8.7,Email,Salud,9,1
1185,40,36.25,Redes Sociales,Humanitaria,12,0
1186,55,12.55,Referido,Humanitaria,11,1
1187,15,34.06,Email,Niñez,2,0
1188,17,25.0,Calle,Animales,3,0
1189,53,39.4,Calle,Animales,9,0
1190,18,12.77,Redes Sociales,Animales,3,1
1191,32,35.98,Redes Sociales,Ambiente,1,1
1192,38,33.32,Email,Salud,4,1
1193,23,33.63,Email,Humanitaria,4,0
1194,46,41.24,Calle,Animales,4,0
1195,23,30.7,Evento,Niñez,10,0
1196,35,5.52,Evento,Animales,10,0
1197,39,34.49,Referido,Salud,9,0
1198,15,33.2,Email,Salud,0,0
1199,53,27.55,Email,Humanitaria,5,0
1200,24,21.58,,Ambiente,10,0
1201,28,26.39,Calle,Humanitaria,1,1
1202,16,44.58,Redes Sociales,Animales,6,1
1203,16,20.8,Redes Sociales,Niñez,3,0
1204,40,12.6,Email,Humanitaria,4,0
1205,39,15.32,Calle,Ambiente,4,0
1206,6,29.65,Redes Sociales,Humanitaria,4,0
1207,2,46.71,Redes Sociales,Salud,1,0
1208,54,52.05,Referido,Animales,4,0
1209,13,36.5,Redes Sociales,Animales,2,0
