id_donante,abandono,probabilidad_abandono,riesgo_categoria,antiguedad_meses,monto_promedio
1001,0,0.01,Bajo,22,33.33
1002,1,0.68,Medio,5,10.91
1003,0,0.08,Bajo,50,41.44
1004,0,0.08,Bajo,42,14.22
1005,1,0.74,Alto,23,27.36
1006,0,0.07,Bajo,54,22.67
1007,0,0.01,Bajo,60,33.06
1008,0,0.1,Bajo,15,28.17
1009,0,0.03,Bajo,31,32.52
1010,0,0.02,Bajo,59,41.11
1011,0,0.1,Bajo,9,37.69
1012,0,0.09,Bajo,43,30.36
1013,0,0.14,Bajo,58,34.6
1014,1,0.22,Bajo,53,49.6
1015,1,0.7,Medio,25,38.04
1016,0,0.01,Bajo,25,27.06
1017,1,0.29,Bajo,49,42.78
1018,0,0.0,,21,33.91
1019,1,0.64,Medio,9,20.37
1020,0,0.13,Bajo,55,28.19
1021,0,0.05,Bajo,48,15.28
1022,1,0.68,Medio,38,7.15
1023,0,0.05,Bajo,22,20.51
1024,0,0.28,Bajo,43,31.23
1025,0,0.04,Bajo,23,31.26
1026,1,0.26,Bajo,49,15.88
1027,0,0.09,Bajo,4,6.21
1028,0,0.27,Bajo,29,44.71
1029,1,0.59,Medio,15,30.95
1030,0,0.1,Bajo,1,45.56
1031,1,0.03,Bajo,54,44.99
1032,0,0.1,Bajo,30,37.35
1033,0,0.02,Bajo,29,30.59
1034,0,0.11,Bajo,20,26.02
1035,1,0.69,Medio,33,37.19
1036,0,0.07,Bajo,41,28.4
1037,0,0.05,Bajo,44,24.1
1038,1,0.82,Alto,36,9.02
1039,1,0.68,Medio,60,29.17
1040,0,0.01,Bajo,22,40.97
1041,0,0.07,Bajo,13,42.59
1042,0,0.02,Bajo,7,30.53
1043,0,0.07,Bajo,8,21.11
1044,0,0.06,Bajo,28,39.03
1045,0,0.16,Bajo,45,29.85
1046,0,0.06,Bajo,43,26.34
1047,0,0.04,Bajo,9,15.44
1048,0,0.18,Bajo,25,51.04
1049,0,0.04,Bajo,56,37.38
1050,0,0.27,Bajo,16,38.46
1051,0,0.06,Bajo,10,21.37
1052,0,0.07,Bajo,11,30.8
1053,1,0.73,Alto,31,29.19
1054,0,0.03,Bajo,12,37.82
1055,0,0.12,Bajo,60,43.6
1056,0,0.02,Bajo,31,15.66
1057,0,0.16,Bajo,14,19.25
1058,0,0.05,Bajo,51,36.46
1059,0,0.09,Bajo,44,24.92
1060,0,0.0,,32,38.15
1061,1,0.38,Bajo,50,26.27
1062,1,0.7,Medio,53,17.51
1063,0,0.3,Bajo,17,12.41
1064,0,0.09,Bajo,35,34.84
1065,0,0.12,Bajo,1,35.09
1066,0,0.23,Bajo,29,39.7
1067,0,0.12,Bajo,51,33.28
1068,0,0.15,Bajo,4,17.57
1069,0,0.05,Bajo,23,35.03
1070,1,0.16,Bajo,28,15.43
1071,0,0.04,Bajo,16,11.32
1072,0,0.06,Bajo,12,10.12
1073,0,0.09,Bajo,53,9.2
1074,0,0.08,Bajo,21,32.79
1075,0,0.07,Bajo,45,22.69
1076,0,0.03,Bajo,17,14.81
1077,0,0.16,Bajo,40,30.23
1078,0,0.06,Bajo,13,18.94
1079,0,0.02,Bajo,52,39.81
1080,0,0.14,Bajo,58,44.5
1081,0,0.15,Bajo,32,27.82
1082,0,0.04,Bajo,37,43.77
