id_donante,abandono,probabilidad_abandono,riesgo_categoria,antiguedad_meses,monto_promedio
1001,0,0.3857453642610812,Bajo,22,33.33
1002,1,0.5137991438536035,Alto,5,10.91
1003,0,0.4015924251420918,Medio,50,41.44
1004,0,0.49956530824651907,Medio,42,14.22
1005,1,0.4669074739996913,Medio,23,27.36
1006,0,0.4500439602357112,Medio,54,22.67
1007,0,0.41070811662887186,Medio,60,33.06
1008,0,0.4595530249310835,Medio,15,28.17
1009,0,0.4491971565746143,Medio,31,32.52
1010,0,0.3788652780244014,Bajo,59,41.11
1011,0,0.4270790035207807,Medio,9,37.69
1012,0,0.43972549127760024,Medio,43,30.36
1013,0,0.41291415312880814,Medio,58,34.6
1014,1,0.3584893977647259,Bajo,53,49.6
1015,1,0.42130013155385787,Medio,25,38.04
1016,0,0.445888898248123,Medio,25,27.06
1017,1,0.33735805771421057,Bajo,49,42.78
1018,0,0.4634489179843947,Medio,21,33.91
1019,1,0.4922788764294205,Medio,9,20.37
1020,0,0.43708062464833297,Medio,55,28.19
1021,0,0.5081655277467557,Alto,48,15.28
1022,1,0.5099327794043408,Alto,38,7.15
1023,0,0.479165097851417,Medio,22,20.51
1024,0,0.39279064038036143,Bajo,43,31.23
1025,0,0.4683774189036714,Medio,23,31.26
1026,1,0.46442517229297425,Medio,49,15.88
1027,0,0.5175794306384011,Alto,4,6.21
1028,0,0.41543315346990495,Medio,29,44.71
1029,1,0.5005221602885226,Alto,15,30.95
1030,0,0.4198632863828597,Medio,1,45.56
1031,1,0.4066294863212249,Medio,54,44.99
1032,0,0.4139859832249313,Medio,30,37.35
1033,0,0.4441897102710918,Medio,29,30.59
1034,0,0.47067728151146065,Medio,20,26.02
1035,1,0.41837210095188865,Medio,33,37.19
1036,0,0.4310832090197271,Medio,41,28.4
1037,0,0.39661535946604626,Bajo,44,24.1
1038,1,0.5121142918338333,Alto,36,9.02
1039,1,0.42456138119634046,Medio,60,29.17
1040,0,0.46349287117071575,Medio,22,40.97
1041,0,0.43565758350984896,Medio,13,42.59
1042,0,0.47915446278543294,Medio,7,30.53
1043,0,0.4969695165856452,Medio,8,21.11
1044,0,0.4338461016454513,Medio,28,39.03
1045,0,0.4422807694761994,Medio,45,29.85
1046,0,0.4327256618331863,Medio,43,26.34
1047,0,0.44154354104946425,Medio,9,15.44
1048,0,0.4212457385476343,Medio,25,51.04
1049,0,0.4011062823551248,Medio,56,37.38
1050,0,0.4277412170906679,Medio,16,38.46
1051,0,0.4827563453067442,Medio,10,21.37
1052,0,0.46120343533513647,Medio,11,30.8
1053,1,0.46886147664844563,Medio,31,29.19
1054,0,0.42781696840255207,Medio,12,37.82
1055,0,0.4052041970509336,Medio,60,43.6
1056,0,0.4949857507563348,Medio,31,15.66
1057,0,0.494964322127776,Medio,14,19.25
1058,0,0.3963211516138989,Bajo,51,36.46
1059,0,0.44727936702963295,Medio,44,24.92
1060,0,0.37763426332060773,Bajo,32,38.15
1061,1,0.4123072151801255,Medio,50,26.27
1062,1,0.4645125775522711,Medio,53,17.51
1063,0,0.5188043553514449,Alto,17,12.41
1064,0,0.39572403408545576,Bajo,35,34.84
1065,0,0.4304277282431771,Medio,1,35.09
1066,0,0.46506694388323555,Medio,29,39.7
1067,0,0.4097700399788569,Medio,51,33.28
1068,0,0.5344275126708065,Alto,4,17.57
1069,0,0.42783764842536104,Medio,23,35.03
1070,1,0.49182354110599874,Medio,28,15.43
1071,0,0.5182330482521227,Alto,16,11.32
1072,0,0.5493339428748751,Alto,12,10.12
1073,0,0.4835273355074063,Medio,53,9.2
1074,0,0.45227683022950627,Medio,21,32.79
1075,0,0.48082239291865103,Medio,45,22.69
1076,0,0.4949762992207267,Medio,17,14.81
1077,0,0.44014216752136565,Medio,40,30.23
1078,0,0.5007302432899687,Alto,13,18.94
1079,0,0.3721373034340322,Bajo,52,39.81
1080,0,0.3930628151457474,Bajo,58,44.5
1081,0,0.46520170548824513,Medio,32,27.82
1082,0,0.4427092885056573,Medio,37,43.77
1083,0,0.3461452620592983,Bajo,50,43.76
1084,0,0.442250041223909,Medio,15,30.85
1085,0,0.3774403893657346,Bajo,12,47.33
1086,0,0.42380121582010555,Medio,49,23.78
